Data,Età,Infected,Removed
2021-05-29,20-39,0.24230397420756888,0.24283468232566824
2021-05-29,40-59,0.32858822659181286,0.33486888236869344
2021-05-29,60-79,0.19742993931942876,0.19050691023397134
2021-05-29,80-89,0.05149303793109605,0.06126932810360177
2021-05-29,90+,0.015701958663752093,0.021376475107911925
2021-05-30,0-19,0.16426562384032062,0.1492070006511316
2021-05-30,20-39,0.2425211077641254,0.24283104121860263
2021-05-30,40-59,0.3287769397516975,0.3348539557888229
2021-05-30,60-79,0.19722163216313954,0.1904921634011431
2021-05-30,80-89,0.05149808181034108,0.06124872568944312
2021-05-30,90+,0.015716614670375936,0.021367113250856665
2021-05-31,0-19,0.16448156360787647,0.14937689060980117
2021-05-31,20-39,0.2410367400050456,0.243014494544259
2021-05-31,40-59,0.3285196446828569,0.3348249670959291
2021-05-31,60-79,0.19780648759178363,0.190386304786456
2021-05-31,80-89,0.052134425663564056,0.061099221087085584
2021-05-31,90+,0.01602113844887337,0.021298121876469164
2021-06-01,0-19,0.1661849512657724,0.1493566504645617
2021-06-01,20-39,0.24368211724211758,0.2427972738763862
2021-06-01,40-59,0.32135495151280596,0.3354927742086814
2021-06-01,60-79,0.19982268481539733,0.19014086709495823
2021-06-01,80-89,0.052736170925250396,0.060966653201110256
2021-06-01,90+,0.016219124238656357,0.021245781154302246
2021-06-02,0-19,0.16500857632933105,0.14955572108447066
2021-06-02,20-39,0.2434259954921112,0.24283273649424303
2021-06-02,40-59,0.3206299703726805,0.33551265309260303
2021-06-02,60-79,0.20078250145301446,0.19005714903108445
2021-06-02,80-89,0.053595679231107266,0.060846940121819584
2021-06-02,90+,0.016557277121755525,0.02119480017577924
2021-06-03,0-19,0.16473179972627086,0.14965442554488448
2021-06-03,20-39,0.2434332149459542,0.2428517512175193
2021-06-03,40-59,0.32052882870784416,0.3354937194809574
2021-06-03,60-79,0.20089376280426652,0.19001990830507046
2021-06-03,80-89,0.05378863424014446,0.060802946688542026
2021-06-03,90+,0.016623759575519814,0.021177248763026322
2021-06-04,0-19,0.16396284111824466,0.14978323280361908
2021-06-04,20-39,0.24367183084303126,0.24285797139874393
2021-06-04,40-59,0.3205895566730917,0.335451379107495
2021-06-04,60-79,0.20095071085926292,0.19000012428124016
2021-06-04,80-89,0.05409776669903335,0.060749446948481285
2021-06-04,90+,0.016727293807336126,0.021157845460420568
2021-06-05,0-19,0.16387916656879095,0.14986677859556288
2021-06-05,20-39,0.24342275257804608,0.24290414132608346
2021-06-05,40-59,0.3205615324986493,0.33542950172429253
2021-06-05,60-79,0.20100244297761388,0.18996811422123308
2021-06-05,80-89,0.054297526485165955,0.06069773434444963
2021-06-05,90+,0.01683657889173381,0.0211337297883784
2021-06-06,0-19,0.1629462439289555,0.14998395226631955
2021-06-06,20-39,0.24383441853869514,0.24288987278265636
2021-06-06,40-59,0.3207609042458906,0.33541157724563053
2021-06-06,60-79,0.20117462155678717,0.18992718744295178
2021-06-06,80-89,0.05440601254977961,0.06066688855488028
2021-06-06,90+,0.016877799179891993,0.021120521707561492
2021-06-07,0-19,0.16258718291692542,0.1500823520646793
2021-06-07,20-39,0.24416292456886257,0.2429101046460279
2021-06-07,40-59,0.32088389146323987,0.33537668883602983
2021-06-07,60-79,0.20087003773945444,0.189906258628019
2021-06-07,80-89,0.05457292313571872,0.060622668743105644
2021-06-07,90+,0.016923040175798976,0.021101927082138355
2021-06-08,0-19,0.16193514505438786,0.15018325108745798
2021-06-08,20-39,0.244491796549601,0.24290783793580703
2021-06-08,40-59,0.32097886057152514,0.33535747091873724
2021-06-08,60-79,0.20086078883509798,0.18988241860541752
2021-06-08,80-89,0.05475908778114474,0.060583818707572665
2021-06-08,90+,0.01697432120824329,0.02108520274500758
2021-06-09,0-19,0.1601562869549587,0.1504482093666736
2021-06-09,20-39,0.24544872583244248,0.24287063131704045
2021-06-09,40-59,0.31996569003087266,0.33537096706399283
2021-06-09,60-79,0.20154268721480625,0.1898118484330613
2021-06-09,80-89,0.05561494628030109,0.0604623876272891
2021-06-09,90+,0.017271663686618796,0.02103595619194269
2021-06-10,0-19,0.15988102350294264,0.15050072593097127
2021-06-10,20-39,0.24570998207725844,0.24286808029026996
2021-06-10,40-59,0.32001944808124977,0.33535885571769863
2021-06-10,60-79,0.20156728654777492,0.18978933918516488
2021-06-10,80-89,0.0556176990250537,0.060447132508648437
2021-06-10,90+,0.017204560765720533,0.021035866367246813
2021-06-11,0-19,0.15900721612788402,0.15063904857934407
2021-06-11,20-39,0.24614762320810277,0.24288343298051807
2021-06-11,40-59,0.31992363200983726,0.33532712878634174
2021-06-11,60-79,0.20154353946218814,0.18976413283951804
2021-06-11,80-89,0.05603339481603728,0.0603778126544344
2021-06-11,90+,0.017344594375950553,0.021008444159843657
2021-06-12,0-19,0.15990332499971632,0.1506954217437118
2021-06-12,20-39,0.23910420551380343,0.24341326953793122
