Data,Età,Deceased
2021-08-12,20-39,0.0025884789156626507
2021-08-12,40-59,0.0446238077309237
2021-08-12,60-79,0.3555785642570281
2021-08-12,80-89,0.40334776606425704
2021-08-12,90+,0.19361822289156627
2021-08-13,0-19,0.00024310102808208973
2021-08-13,20-39,0.0025878496537770843
2021-08-13,40-59,0.04464432751197861
2021-08-13,60-79,0.35558622636626697
2021-08-13,80-89,0.4033516574000737
2021-08-13,90+,0.19358683803982152
2021-08-14,0-19,0.00024303813346713497
2021-08-14,20-39,0.0025950200702458603
2021-08-14,40-59,0.044664136979428
2021-08-14,60-79,0.3556039889613648
2021-08-14,80-89,0.4033100225790266
2021-08-14,90+,0.19358379327646763
2021-08-15,0-19,0.00024301527076604683
2021-08-15,20-39,0.0025947759555987582
2021-08-15,40-59,0.044652096202690415
2021-08-15,60-79,0.3556175723558371
2021-08-15,80-89,0.4032956006396789
2021-08-15,90+,0.1935969395754288
2021-08-16,0-19,0.00024298288930169854
2021-08-16,20-39,0.002602268362843997
2021-08-16,40-59,0.04466182268519607
2021-08-16,60-79,0.3556015394141761
2021-08-16,80-89,0.40328105282134485
2021-08-16,90+,0.19361033382713727
2021-08-17,0-19,0.00024287818483813343
2021-08-17,20-39,0.0026089817919709175
2021-08-17,40-59,0.04469742079037262
2021-08-17,60-79,0.3556128365038077
2021-08-17,80-89,0.40324829985270616
2021-08-17,90+,0.19358958287630448
2021-08-18,0-19,0.00024274695587486785
2021-08-18,20-39,0.0026075721389139032
2021-08-18,40-59,0.044704592615794216
2021-08-18,60-79,0.3556477819975725
2021-08-18,80-89,0.4032105242551192
2021-08-18,90+,0.19358678203672527
2021-08-19,0-19,0.00024267284569138276
2021-08-19,20-39,0.0026146042084168337
2021-08-19,40-59,0.04473008517034068
2021-08-19,60-79,0.35564096943887774
2021-08-19,80-89,0.4032126753507014
2021-08-19,90+,0.19355899298597196
2021-08-20,0-19,0.00024256651017214397
2021-08-20,20-39,0.0026134585289514867
2021-08-20,40-59,0.0447339593114241
2021-08-20,60-79,0.35570422535211266
2021-08-20,80-89,0.4031533646322379
2021-08-20,90+,0.19355242566510172
2021-08-21,0-19,0.0002425114801805537
2021-08-21,20-39,0.0026285115271182597
2021-08-21,40-59,0.04474727956879894
2021-08-21,60-79,0.3557174037190309
2021-08-21,80-89,0.40313230956981594
2021-08-21,90+,0.19353198413505543
2021-08-22,0-19,0.0002424413057419486
2021-08-22,20-39,0.002627750926751443
