Data,Età,Daily_extinct,Extinct,Infected,Recovered
2022-11-03,60-69,0.09375,0.0995055343857739,0.12773517299523332,0.10526932881303584
2022-11-03,70-79,0.125,0.24260569769551804,0.10140487694153506,0.07330081022137094
2022-11-03,80-89,0.375,0.40346012520413715,0.06637617951295438,0.040175527507514304
2022-11-03,>90,0.40625,0.20548675376519687,0.017939946172054865,0.009751309995869336
2022-11-04,0-9,0.0,0.00023248956632190165,0.06738707480787315,0.08440343387290813
2022-11-04,10-19,0.0,0.00019279622573035746,0.08921252310386199,0.11590229319850992
2022-11-04,20-29,0.0,0.0007655144256940664,0.09378627711663802,0.11380491622520347
2022-11-04,30-39,0.0,0.0025857376156777356,0.12114287103991699,0.13425274613205043
2022-11-04,40-49,0.0,0.00946969696969697,0.14734021855442783,0.1622646654709837
2022-11-04,50-59,0.0,0.03569565414625295,0.1676748597555044,0.16087496856255387
2022-11-04,60-69,0.09375,0.0995055343857739,0.12773517299523332,0.10526932881303584
2022-11-04,70-79,0.125,0.24260569769551804,0.10140487694153506,0.07330081022137094
2022-11-04,80-89,0.375,0.40346012520413715,0.06637617951295438,0.040175527507514304
2022-11-04,>90,0.40625,0.20548675376519687,0.017939946172054865,0.009751309995869336
2022-11-05,0-9,0.0,0.00023248956632190165,0.06738707480787315,0.08440343387290813
2022-11-05,10-19,0.0,0.00019279622573035746,0.08921252310386199,0.11590229319850992
2022-11-05,20-29,0.0,0.0007655144256940664,0.09378627711663802,0.11380491622520347
2022-11-05,30-39,0.0,0.0025857376156777356,0.12114287103991699,0.13425274613205043
2022-11-05,40-49,0.0,0.00946969696969697,0.14734021855442783,0.1622646654709837
2022-11-05,50-59,0.0,0.03569565414625295,0.1676748597555044,0.16087496856255387
2022-11-05,60-69,0.09375,0.0995055343857739,0.12773517299523332,0.10526932881303584
2022-11-05,70-79,0.125,0.24260569769551804,0.10140487694153506,0.07330081022137094
2022-11-05,80-89,0.375,0.40346012520413715,0.06637617951295438,0.040175527507514304
2022-11-05,>90,0.40625,0.20548675376519687,0.017939946172054865,0.009751309995869336
2022-11-06,0-9,0.0,0.00023248956632190165,0.06738707480787315,0.08440343387290813
2022-11-06,10-19,0.0,0.00019279622573035746,0.08921252310386199,0.11590229319850992
2022-11-06,20-29,0.0,0.0007655144256940664,0.09378627711663802,0.11380491622520347
2022-11-06,30-39,0.0,0.0025857376156777356,0.12114287103991699,0.13425274613205043
2022-11-06,40-49,0.0,0.00946969696969697,0.14734021855442783,0.1622646654709837
2022-11-06,50-59,0.0,0.03569565414625295,0.1676748597555044,0.16087496856255387
2022-11-06,60-69,0.09375,0.0995055343857739,0.12773517299523332,0.10526932881303584
